Id_recommend_before,Id_recommend_after,Name_recommend_before,Name_recommend_after,similarity_before,similarity_after,distance_angle_si_before,distance_angle_si_after,text_si_before,text_si_after,Id,Name
2288629,2288629,Social invitation card,Social invitation card,3.8555060564561447,3.856192039152881,0.8555060564561449,0.8561920391528811,3.0,3.0,2288629,Social invitation card
473722,473722,Page heading 1,Page heading 1,2.494298533127358,2.4912076458856696,0.7609651997940245,0.7578743125523365,1.7333333333333332,1.7333333333333332,2288629,Social invitation card
473736,473736,Page heading 2,Page heading 2,2.3459463717656,2.346022129144219,0.6066301324493609,0.6067058898279796,1.7393162393162394,1.7393162393162394,2288629,Social invitation card
2288601,2288601,Project sharing,Project sharing,2.27926878075772,2.275421177175617,0.3792687807577199,0.3754211771756172,1.9,1.9,2288629,Social invitation card
2098731,2098731,Sign up 2,Sign up 2,3.787907782656963,3.7883172967836516,0.7879077826569627,0.7883172967836517,3.0,3.0,2098731,Sign up 2
2722,2722,Sign up 1,Sign up 1,3.649175914119974,3.649453760639752,0.6491759141199742,0.649453760639752,3.0,3.0,2098731,Sign up 2
2098714,2098714,Sign in 2,Sign in 2,2.7480490747311035,2.747449188031935,0.6747890014710299,0.6741891147718614,2.0732600732600734,2.0732600732600734,2098731,Sign up 2
319395,319395,Sign in 1,Sign in 1,2.5975702926412176,2.59637835650543,0.5243102193811443,0.5231182832453567,2.0732600732600734,2.0732600732600734,2098731,Sign up 2
2288601,2288601,Project sharing,Project sharing,2.005679057811559,2.004500986627526,0.6979867501192512,0.6968086789352183,1.3076923076923077,1.3076923076923077,2098731,Sign up 2
2288450,2288450,Snackbar,Snackbar,1.891274305368712,1.9077247130548196,0.891274305368712,0.9077247130548197,1.0,1.0,2288450,Snackbar
319588,319588,Notification card,Notification card,1.2665973537787547,1.267630036225437,0.918771266822233,0.9198039492689151,0.34782608695652173,0.34782608695652173,2288450,Snackbar
2286525,2286525,Navigation drawer 2,Navigation drawer 2,1.1608235680886514,1.1604809725001652,0.827490234755318,0.827147639166832,0.3333333333333333,0.3333333333333333,2288450,Snackbar
2288575,2288575,Message card,Message card,1.0329864517785068,1.0369919510467223,0.6889004302731304,0.692905929541346,0.34408602150537637,0.34408602150537637,2288450,Snackbar
473633,48667,Loading bar,Dashboard menu sidebar,0.9773312963342783,0.9811764987449032,0.6023312963342783,0.5526050701734746,0.375,0.42857142857142855,2288450,Snackbar
