user_id,0,1,2,4,5,6,7,8,9,10,11,12,13,14,16,17,19,20,21,22,23,24,25,26,27,28,29,31,32,33,34,35,36,37,38,39,41,42,43,45,46,47,48,49,50,52,53,54,55,56,57,58,60,61,62,63,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,97,98,99,100,101,102,103,104
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,5.0,,5.0,,,,5.0,5.0,,,,,,,,5.0,,,,,,,,,,,,,5.0,5.0,,5.0,,,,,,,5.0,,,,5.0,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
244,,1.6666666666666667,,,,,,,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667,,,,,,,,,1.6666666666666667,,,1.6666666666666667,,,3.3333333333333335,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.6666666666666667,3.3333333333333335,,3.3333333333333335,,5.0,1.6666666666666667,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0833333333333335,,,,,,,,,,,,,,,,,2.0833333333333335,,,,,,,,,,,,,,,4.583333333333333,2.5,,,,0.4166666666666667,,,5.0,,,,,,,,,,,,,,,,,,,,1.6666666666666667,,,,
352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8181818181818181,,,,,,,,,,,,,,,,,,,0.9090909090909091,0.9090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,2.5,1.25,,1.25,,,,,,,,,,,,,,,1.25,,,,,,,3.75,1.25,,,,1.25,5.0,1.25,,,,,2.5,2.5,,,,3.75,,1.25,,,,,,,,,,,1.25,2.5,,,1.25,,2.5,1.25,2.5,1.25,1.25,1.25,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,
371,,0.29411764705882354,,,0.29411764705882354,,,,1.1764705882352942,0.29411764705882354,,,,,0.29411764705882354,,,,,,,,,,,1.4705882352941178,0.29411764705882354,,,0.5882352941176471,,,,0.5882352941176471,,,,,,0.5882352941176471,0.5882352941176471,,0.29411764705882354,,0.8823529411764706,,,1.1764705882352942,,,,,0.29411764705882354,0.29411764705882354,,,1.1764705882352942,,,0.5882352941176471,,0.29411764705882354,0.5882352941176471,0.29411764705882354,5.0,,1.7647058823529411,1.4705882352941178,,,,,0.29411764705882354,,,,,,,0.5882352941176471,,,,,,,,,,0.29411764705882354,1.4705882352941178,0.29411764705882354,,0.5882352941176471,
372,,1.6666666666666667,,,0.30303030303030304,,,0.30303030303030304,0.30303030303030304,0.30303030303030304,,,,,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.15151515151515152,,,,,,,,0.30303030303030304,0.6060606060606061,,,0.45454545454545453,0.45454545454545453,,,0.15151515151515152,,0.15151515151515152,,0.15151515151515152,,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.30303030303030304,,0.30303030303030304,0.45454545454545453,0.15151515151515152,5.0,,,0.15151515151515152,0.15151515151515152,0.15151515151515152,0.30303030303030304,,,0.30303030303030304,0.15151515151515152,0.15151515151515152,0.7575757575757576,,1.0606060606060606,1.6666666666666667,1.0606060606060606,0.30303030303030304,0.30303030303030304,0.30303030303030304,1.2121212121212122,,,0.7575757575757576,,0.7575757575757576,,,,0.15151515151515152,0.15151515151515152,0.45454545454545453,0.15151515151515152,0.15151515151515152,,0.15151515151515152,,,,,0.30303030303030304,0.30303030303030304,0.30303030303030304,1.5151515151515151,0.45454545454545453,0.30303030303030304,0.30303030303030304,
375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3333333333333335,3.3333333333333335,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,3.3333333333333335,1.6666666666666667,3.3333333333333335,,,,5.0,,,1.6666666666666667,,1.6666666666666667,,,,,,,,,,,,,,,1.6666666666666667,,,5.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,
385,3.611111111111111,1.6666666666666667,,2.5,,,,,,,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.2777777777777778,,,,,2.2222222222222223,0.2777777777777778,0.2777777777777778,0.8333333333333334,0.5555555555555556,0.2777777777777778,0.5555555555555556,,,,,2.5,2.2222222222222223,2.5,0.5555555555555556,,0.5555555555555556,,,0.5555555555555556,1.1111111111111112,,0.2777777777777778,0.2777777777777778,1.1111111111111112,,0.2777777777777778,,,2.2222222222222223,0.5555555555555556,,,,,,,0.8333333333333334,4.722222222222222,,,1.9444444444444444,0.2777777777777778,2.2222222222222223,1.1111111111111112,5.0,0.8333333333333334,0.5555555555555556,0.8333333333333334,4.444444444444445,,0.5555555555555556,1.9444444444444444,,3.888888888888889,,,,,,1.1111111111111112,,,,0.2777777777777778,0.5555555555555556,0.5555555555555556,0.2777777777777778,0.5555555555555556,1.3888888888888888,3.0555555555555554,1.9444444444444444,2.7777777777777777,0.5555555555555556,0.5555555555555556,0.8333333333333334,
386,,1.6666666666666667,1.6666666666666667,,,,,,,1.6666666666666667,,,,,,,,,,,,,,,,,,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,,,,,,,,,1.6666666666666667,1.6666666666666667,,5.0,3.3333333333333335,,3.3333333333333335,,1.6666666666666667,,,,,,,,,,1.6666666666666667,1.6666666666666667,,,,,1.6666666666666667,,,,1.6666666666666667,,,,,,,,1.6666666666666667,,,1.6666666666666667,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8333333333333334,,,5.0,,,,,,,,,0.8333333333333334,,,,,,,0.8333333333333334,0.8333333333333334,,,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,4.166666666666667,,,,
470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
