distance_angle_similarity,text_si,similarity,Id_recommend,Name_recommend,Id,Name
0.9068707571523763,2.0,2.9068707571523764,2726,Header with search box,2726,Header with search box
0.8718458847390215,2.0,2.8718458847390216,48666,Secondary header,2726,Header with search box
0.8377244358240221,2.0,2.837724435824022,2727,Navigation header,2726,Header with search box
0.7033355485607287,1.8,2.5033355485607287,2288631,Top bar 2,2726,Header with search box
0.6736717222216397,1.0,1.6736717222216397,2139480,Top bar 1,2726,Header with search box
0.9116151967173648,2.0,2.911615196717365,473525,Action confirmation 2,473525,Action confirmation 2
0.759667497785814,2.0,2.7596674977858138,2288387,Multiple actions confirmation,473525,Action confirmation 2
0.7577446372219702,1.8207547169811322,2.5784993542031023,2288653,Action confirmation 1,473525,Action confirmation 2
0.6813743617144539,1.7016129032258065,2.3829872649402604,2098585,Action confirmation 3,473525,Action confirmation 2
0.6194885381265824,1.6468401486988848,2.2663286868254673,319537,Action confirmation 1,473525,Action confirmation 2
0.8802448438576415,2.0,2.8802448438576413,2728,Simple menu sidebar,2728,Simple menu sidebar
0.8535219756988099,2.0,2.85352197569881,2729,Multi-level menu sidebar,2728,Simple menu sidebar
0.5779334491585612,2.0,2.5779334491585613,2286525,Navigation drawer 2,2728,Simple menu sidebar
0.430163647648738,1.6666666666666665,2.0968303143154046,2727,Navigation header,2728,Simple menu sidebar
0.6065439293817545,1.3478260869565217,1.9543700163382762,319588,Notification card,2728,Simple menu sidebar
0.8916051726113947,1.0,1.8916051726113947,2098602,Breadcrumb,2098602,Breadcrumb
0.3240179512874028,1.0,1.3240179512874029,48667,Dashboard menu sidebar,2098602,Breadcrumb
0.515561476524811,0.7272727272727273,1.2428342037975382,319570,Link sharing,2098602,Breadcrumb
0.7061242379999849,0.5,1.206124237999985,4788,Horizontal media card,2098602,Breadcrumb
0.7743295499916364,0.42105263157894735,1.1953821815705838,474089,Toast message 1,2098602,Breadcrumb
0.9351445224798188,1.0,1.9351445224798187,4851,Dashboard card,4851,Dashboard card
0.39580607571733323,1.0,1.3958060757173332,4853,Dashboard card with chart,4851,Dashboard card
0.6673046069957659,0.5714285714285714,1.2387331784243374,4850,Data card,4851,Dashboard card
0.7586347491663347,0.4,1.1586347491663347,2098818,Welcome modal 2,4851,Dashboard card
0.8271675705985772,0.2857142857142857,1.1128818563128628,473736,Page heading 2,4851,Dashboard card
1.0000000000000002,1.0,2.0,473572,Combo box,473572,Combo box
0.7610902820282345,0.0,0.7610902820282345,473796,Simple dropdown,473572,Combo box
0.3436479755515271,0.17391304347826086,0.5175610190297879,2286525,Navigation drawer 2,473572,Combo box
0.0,0.46153846153846156,0.46153846153846156,319595,Project sharing,473572,Combo box
0.0,0.46153846153846156,0.46153846153846156,2288601,Project sharing,473572,Combo box
0.8380874858248895,3.0,3.8380874858248895,2288629,Social invitation card,2288629,Social invitation card
0.7974757010177315,3.0,3.7974757010177314,4824,Social invitation card,2288629,Social invitation card
0.792754042340735,2.4615384615384617,3.2542925038791966,473736,Page heading 2,2288629,Social invitation card
0.5614491960888429,2.1153846153846154,2.6768338114734584,4850,Data card,2288629,Social invitation card
0.39084509300996706,1.952380952380952,2.343226045390919,2098642,Image gallery 1,2288629,Social invitation card
0.8750913624365294,1.0,1.8750913624365295,4802,Contact card,4802,Contact card
0.7273621252212077,1.0,1.7273621252212077,4817,Social card,4802,Contact card
0.6390517726693968,1.0,1.6390517726693967,2288629,Social invitation card,4802,Contact card
0.6165148709538919,1.0,1.616514870953892,4824,Social invitation card,4802,Contact card
0.5875363362306099,1.0,1.5875363362306099,473736,Page heading 2,4802,Contact card
