id,name,Id_input
2288575,Message card,2098602
319570,Link sharing,2098602
473609,Inline message 2,2098602
4847,Job posting card,4847
2098636,Floating banner,4847
2098810,Welcome modal 1,4847
2139478,Media popup 2,4847
2288601,Project sharing,4847
4847,Job posting card,4847
2098810,Welcome modal 1,4847
2139535,Inline message 1,4847
319415,Generic card (compact),4847
473604,Inline message 1,4847
2288403,Basic bottom sheet,2139458
473572,Combo box,2139458
473614,Item dropdown,2139458
473796,Simple dropdown,2139458
2139458,Navigation drawer 1,2139458
2098806,Search box and button,2098806
2288631,Top bar 2,2098806
2726,Header with search box,2098806
2727,Navigation header,2098806
48666,Secondary header,2098806
2288531,Horizontal media card,4788
4788,Horizontal media card,4788
2098818,Welcome modal 2,4788
2288641,Vertical media card,4788
319546,Feature guideline,4788
319449,Pricing card,319449
2098629,Empty state,319449
2139495,Bubble chat,319449
2288601,Project sharing,319449
319537,Action confirmation 1,319449
2098810,Welcome modal 1,2139479
2098818,Welcome modal 2,2139479
2139479,Media popup 1,2139479
2098636,Floating banner,2139479
2139478,Media popup 2,2139479
4847,Job posting card,4847
2098636,Floating banner,4847
2098810,Welcome modal 1,4847
2139478,Media popup 2,4847
2288601,Project sharing,4847
473539,Calendar,473539
473744,Pagination 1,473539
473757,Pagination 2,473539
319570,Link sharing,473539
2139488,Tabs in pills,473539
473736,Page heading 2,473736
2098810,Welcome modal 1,473736
2098818,Welcome modal 2,473736
2139478,Media popup 2,473736
2139480,Top bar 1,473736
2098629,Empty state,2728
2286525,Navigation drawer 2,2728
2288403,Basic bottom sheet,2728
2727,Navigation header,2728
2728,Simple menu sidebar,2728
2098636,Floating banner,473646
2098806,Search box and button,473646
2139477,iOS keyboard,473646
2139479,Media popup 1,473646
2193809,Android keyboard,473646
4853,Dashboard card with chart,4853
2288531,Horizontal media card,4853
2288575,Message card,4853
319468,Footer with newsletter,4853
319501,Generic footer,4853
319468,Footer with newsletter,319468
319501,Generic footer,319468
4848,Message card,319468
2288575,Message card,319468
2098602,Breadcrumb,319468
2288423,Chips,2288423
319415,Generic card (compact),2288423
319449,Pricing card,2288423
4779,Vertical media card,2288423
4835,Applicant profile card,2288423
2288629,Social invitation card,4824
473736,Page heading 2,4824
4824,Social invitation card,4824
2098636,Floating banner,4824
2288575,Message card,4824
319449,Pricing card,319449
2098602,Breadcrumb,319449
2098629,Empty state,319449
319468,Footer with newsletter,319449
319501,Generic footer,319449
473825,Striped table,473960
473870,Table,473960
473960,Table with avatars,473960
2139495,Bubble chat,473960
319595,Project sharing,473960
2098636,Floating banner,474046
2139488,Tabs in pills,474046
